IDcyclist,gene_sz_lastname,gene_sz_firstname,gene_sz_firstlastname,fkIDteam,fkIDregion,fkIDcontract,fkIDprevcontract,fkIDnextcontract,gene_sz_photo,gene_i_birthdate,gene_f_popularity,gene_f_popularity_max,value_i_rank_voted,value_f_potentiel,value_f_current_ability,current_f_stage_score,fkIDrace,fkIDlaststage,fkIDcyclist_state,fkIDtype_rider,fkIDinjury,fkIDtga_skin,gene_i_size,gene_i_weight,prerace_i_cyclist,race_b_withdrawal,fkIDstaff_trainer,charac_i_plain,limit_i_plain,charac_i_mountain,limit_i_mountain,charac_i_medium_mountain,limit_i_medium_mountain,charac_i_downhilling,limit_i_downhilling,charac_i_cobble,limit_i_cobble,charac_i_timetrial,limit_i_timetrial,charac_i_prologue,limit_i_prologue,charac_i_sprint,limit_i_sprint,charac_i_acceleration,limit_i_acceleration,charac_i_endurance,limit_i_endurance,charac_i_resistance,limit_i_resistance,charac_i_recuperation,limit_i_recuperation,charac_i_hill,limit_i_hill,charac_i_baroudeur,limit_i_baroudeur,charac_bitfield_mental,charac_i_tour,charac_i_classic,fitness_i_handicap,gene_b_will_retire,fkIDtraining_camp,gene_i_dossard,gene_i_champion_bit,gene_b_nominated,CONSTANT,gene_sz_soundname,fkIDstate_roster,gene_b_inshortlist,gene_i_date_last_breakaway,gene_i_date_last_punchers,gene_ilist_fkIDfavorite_races,fkIDworkplan,bit_i_contrat_preference,value_f_capital,gene_i_ptmap,fkIDyear_progression,value_f_gain,value_i_trainingstyle,fkIDcontract_preference_preset,iContract_fidelity,iContract_refusal_cooldown,value_i_knowledge,fkIDcyclist_leader,value_i_yearneopro,gene_i_nb_total_victory,gene_i_nb_tdf,gene_i_nb_giro,gene_i_nb_vuelta,gene_i_nb_sanremo,gene_i_nb_flandres,gene_i_nb_roubaix,gene_i_nb_liege,gene_i_nb_lombardia
754,Poels,Wout,Poels W.,107,506,0,0,0,wpoels,19871001,13.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,183,65,0,0,0,69,0,75,0,75,0,70,0,63,0,70,0,71,0,67,0,73,0,71,0,69,0,72,0,74,0,73,0,0,0,0,0,0,0,0,0,0,,Poels_Wout,0,0,0,0,"(15,87,25)",0,0,0.0,0,0,0.0,0,0,0,0,0,0,2009,26,11,4,10,0,0,0,11,8
797,Swift,Ben,Swift B.,2,1801,0,0,0,bswift,19871105,32.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,179,65,0,0,0,75,0,69,0,70,0,74,0,69,0,69,0,73,0,71,0,70,0,68,0,67,0,73,0,72,0,75,0,0,0,0,0,0,0,0,2,0,,Swift_Ben,0,0,0,0,"(175,173,87)",0,0,0.0,0,0,0.0,0,0,0,0,0,0,2009,15,2,6,2,11,5,2,1,6
1033,Caruso,Damiano,Caruso D.,13,219,0,0,0,dcaruso,19871012,6.1,0.0,0,5.0,0.0,0.0,0,0,3,0,0,0,179,68,0,0,0,69,0,77,0,76,0,77,0,65,0,71,0,70,0,64,0,68,0,73,0,69,0,76,0,73,0,67,0,0,4,1,0,0,0,0,0,0,,Caruso_Damiano,0,0,0,0,"(135,595)",0,0,0.0,0,0,0.0,0,0,0,0,0,0,2009,8,7,8,6,11,0,0,8,12
1269,Degenkolb,John,Degenkolb J.,15,716,0,0,0,jdegenkolb,19890107,78.0,0.0,0,5.0,0.0,0.0,0,0,3,0,0,0,180,77,0,0,0,73,0,63,0,68,0,76,0,76,0,66,0,70,0,70,0,69,0,70,0,69,0,68,0,71,0,67,0,0,1,4,0,0,0,0,0,0,,Degenkolb_John,0,0,0,0,"(4,77,25)",0,0,0.0,0,0,0.0,0,2,3,0,0,0,2012,48,10,1,7,9,14,12,0,0
1380,Doubey,Fabien,Doubey F.,25,309,0,0,0,fdoubey,19931021,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,174,62,0,0,0,66,0,71,0,72,0,75,0,65,0,66,0,68,0,66,0,70,0,67,0,69,0,68,0,73,0,63,0,0,0,0,0,0,0,0,0,0,,Doubey_Fabien,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2017,1,1,0,1,0,0,0,8,0
1381,Biermans,Jenthe,Biermans J.,34,402,0,0,0,jbiermans,19951030,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,184,78,0,0,0,75,0,57,0,62,0,70,0,73,0,64,0,64,0,75,0,74,0,69,0,71,0,66,0,73,0,65,0,0,0,0,0,0,0,0,0,0,,Biermans_Jenthe,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2017,3,1,3,1,1,3,8,0,0
1820,Arashiro,Yukiya,Arashiro Y.,93,2101,0,0,0,yarashiro,19840922,15.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,9,171,65,0,0,0,67,0,68,0,70,0,71,0,64,0,63,0,66,0,67,0,73,0,67,0,67,0,69,0,71,0,74,0,0,0,0,0,0,0,0,2,0,,Arashiro_Yukiya,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2009,8,7,5,4,4,0,1,7,2
1936,Kruijswijk,Steven,Kruijswijk S.,14,507,0,0,0,skruijswijk,19870607,18.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,178,64,0,0,0,67,0,73,0,73,0,64,0,65,0,70,0,70,0,60,0,62,0,67,0,65,0,71,0,72,0,67,0,0,3,1,0,0,0,0,0,0,,Kruijswijk_Steven,0,0,0,0,"(173,25,5)",0,0,0.0,0,0,0.0,0,0,0,0,0,0,2010,2,7,9,7,0,0,0,1,8
1959,Ulissi,Diego,Ulissi D.,12,209,0,0,0,dulissi,19890715,35.0,0.0,0,5.0,0.0,0.0,0,0,3,0,0,0,175,63,0,0,0,71,0,68,0,74,0,68,0,64,0,70,0,71,0,71,0,74,0,70,0,72,0,71,0,76,0,71,0,0,2,4,0,0,0,0,0,0,,Ulissi_Diego,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2010,49,1,12,1,12,0,0,12,13
1975,Oliveira,Nelson,Oliveira N.,1,2902,0,0,0,noliveira,19890306,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,180,67,0,0,0,72,0,71,0,71,0,67,0,68,0,71,0,71,0,58,0,63,0,68,0,66,0,68,0,71,0,70,0,0,0,0,0,0,0,0,3,0,,Oliveira_Nelson,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2010,6,9,3,10,1,5,5,3,5
