IDteam,gene_sz_shortname,gene_sz_name,jersey_sz_abbreviation,abbreviation,gene_b_licensed,fkIDcountry,gene_sz_suffixeMail,gene_sz_manager_general,fkIDdivision,fkIDnextdivision,fkIDprevdivision,fkIDrace,prerace_i_team,gene_b_selected,CONSTANT,fkIDcalendar1,fkIDcalendar2,fkIDcalendar3,value_f_current_evaluation,value_f_prevyear_evaluation,value_f_nextyear_evaluation,gene_b_default_picking,gene_i_transfer_evo_budget_min_year,gene_i_transfer_evo_ridertype_min_year,fkIDteam_ridertype_distrib,value_ilist_race_like,value_ilist_race_dislike,value_i_budget,gene_sz_color,value_f_ridertype_importance,gene_sz_secondary_color
1,Movistar,Movistar Team,mov,MOV,1,8,movistar.com,Eusebio Unzue,10,0,0,0,0,0,,2,9,3,0.0,0.0,0.0,1,0,0,0,"(551,95,97,62,317,44,31,262,105,106,343,334,580)","(27,32,190)",0,,0.0,
2,Netcompany INEOS,Netcompany INEOS,igd,IGD,1,18,team-ineos.com,Dave Brailsford,10,0,0,0,0,0,,3,4,2,0.0,0.0,0.0,1,0,0,0,"(309,301,63,68,98,99,317,105,106,343,93,580,38)","(58,298,302,293,95,97,304,300)",0,,0.0,
3,Decathlon CMA CGM,Decathlon CMA CGM Team,dct,DCT,1,3,decathlon-cmacgm.com,Vincent Lavenu,10,0,0,0,0,0,AG2R,1,3,4,0.0,0.0,0.0,1,0,0,0,"(63,2,599,334)","(58,298,309,311,304,95,97,128,388)",0,,0.0,
5,EF-EasyPost,EF Education-EasyPost,efe,EFE,1,6,ef-easypost.com,Jonathan Vaughters,10,0,0,0,0,0,,8,2,3,0.0,0.0,0.0,1,0,0,0,(166),"(105,106)",0,,0.0,
6,Groupama - FDJ,Groupama - FDJ United,gfc,GFC,1,3,groupama-fdj.fr,Marc Madiot,10,0,0,0,0,0,,1,4,3,0.0,0.0,0.0,1,0,0,0,"(63,325,599,261,32)","(551,44,58,334)",0,,0.0,
9,Lotto-Intermarché,Lotto-Intermarché,loi,LOI,1,4,lotto-intermarche.be,Jean-François Bourlart,10,0,0,0,0,0,,4,2,5,0.0,0.0,0.0,1,0,0,0,(408),(),0,,0.0,
10,Soudal - QuickStep,Soudal - QuickStep,soq,SOQ,1,4,soudal-quickstep.com,Patrick Lefévère,10,0,0,0,0,0,DEMOTEAM,4,3,9,0.0,0.0,0.0,1,0,0,0,"(97,63,68)","(304,27,44,293)",0,,0.0,
11,Lidl - Trek,Lidl - Trek,ltk,LTK,1,7,lidl-trek.com,Luca Guercilena,10,0,0,0,0,0,,3,8,4,0.0,0.0,0.0,1,0,0,0,"(166,317)","(551,105,106)",0,,0.0,
12,XDS Astana Team,XDS Astana Team,xat,XAT,1,13,xds-astana-team.com,Alexander Vinokourov,10,0,0,0,0,0,astana,3,4,13,0.0,0.0,0.0,1,0,0,0,"(183,317,408)","(551,44)",0,,0.0,
13,Bahrain Victorious,Bahrain Victorious,tbv,TBV,1,106,bahrain-victorious.com,Milan Erzen,10,0,0,0,0,0,,3,7,2,0.0,0.0,0.0,1,0,0,0,"(183,317)","(551,105,106)",0,,0.0,
