IDrace,gene_sz_race_name,gene_sz_abbreviation,gene_sz_filename,fkIDcountry,fkIDrace_class,fkIDfirst_stage,fkIDlast_stage,gene_f_popularity,gene_i_number_stages,gene_sz_mailOrganisateur,gene_ilist_fkIDteam,CONSTANT,gene_sz_classification_xml,gene_f_organisateur_coeff,fkIDrace_type,gene_b_national_tour,fkID_iconic_region,gene_i_comfort,gene_b_aso,gene_sz_currentvariant,value_i_prime,gene_b_selected,value_i_offsetLeapYear
1,Tour of Malaysia,Malays,t0_malaysia,49,10,1001,8001,15.0,8,organisateurs@malaysia-tour.com,"(5,15,12,125,70,92,81,102,93,95,123)",tourofmalaysia,cont_2hc,0.0,3,0,0,3,0,,0,1,0
2,Kuurne - Brussel - Kuurne,K-B-K,c1_kuurne,4,16,1002,1002,45.0,1,organisateurs@kbk.be,"(37,13,3,5,6,11,9,1,42,33,10,20,15,14,16,99,12,92,34,60,97,69,25,107,125)",kuurne,cont_1hc,0.0,17,0,0,3,0,,0,1,1
4,Paris-Roubaix Hauts-de-France,Roubai,topclas_roubaix,3,6,1004,1004,90.0,1,organisateurs@parisroubaix.com,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,34,97,125,25,60,107,69)",parisroubaix,top_classiques_majeures,0.0,11,0,315,4,1,,0,1,0
5,Tour d'Helvétie,Helvet,top_suisse,17,3,1005,5005,75.0,5,organisateurs@helvetie-tour.ch,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,97,125)",tourdesuisse,top_suisse,0.0,2,1,0,5,0,,0,1,0
6,GP Bornecchi,Berno,c0_bernocchi,2,16,1006,1006,10.0,1,organisateurs@coppabernocchi.it,"(14,37,12,34,3,5,11,1,33,10,20,16,93,100,9,97,102,25,125,81)",bornecchi,cont_1hc,0.0,10,0,0,3,0,,0,1,0
8,Circuit de l'Ain,Ain,t1_ain,3,11,1008,3008,30.0,3,organisateurs@tour-ain.fr,"(3,6,34,25,107,124,126,59,68,5,12,166)",circuitain,cont_21,0.0,3,0,0,1,0,,0,1,0
9,Denmark championships,N-DK,nat-den,10,22,1009,1009,40.0,1,organisateurs@chptdk.dk,(),champ_danemark,default,0.0,9,0,0,3,0,,0,1,0
10,Schweizer Meisterschaft,N-SWI,nat-swi,17,22,1010,1010,40.0,1,organisateurs@chptswiss.ch,(),champ_swiss,default,0.0,9,0,0,3,0,,0,1,0
11,Vlaanderen Classic,Vlaand,topclas_rondevv,4,6,1011,1011,90.0,1,organisateurs@ronde.com,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,34,97,125,107,25,92,69)",tourdesflandres,top_classiques_majeures,0.0,12,0,402,4,0,,0,1,0
12,GP al Pais Vasco,PVasco,top_pvasco,8,4,1012,6012,70.0,6,organisateurs@pais-vasco.es,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,34,125,70,35,100)",tourpaysbasque,top_paysbasque,0.0,18,0,816,4,0,,0,1,0
13,Wevelgem's Classic,Wevelg,topclas_gwevelgem,4,7,1013,1013,65.0,1,organisateurs@gent-wevelgem.be,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,97,125,34,92,69,25,107)",gandwevelgem,top_classiques_autres,0.0,17,0,0,4,0,,0,1,0
15,La Flèche Wallonne,Flèche,topclas_fleche,4,8,1015,1015,75.0,1,organisateurs@lafleche.com,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,34,97,125,92,35,70,25)",flechewallone,top_classiques_autres,0.0,10,0,0,4,1,,0,1,0
18,La Vuelta,Vuelta,top_vuelta,8,2,1018,21018,88.0,21,organisateurs@gt-espana.com,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,34,97,125,92,70)",vuelta,top_espagne_grandtour,0.0,1,0,0,5,1,,0,1,0
19,GP de Romandie,Romand,top_romandie,17,3,1019,6019,60.0,6,organisateurs@romandie-tour.ch,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,97,125)",tourderomandie,top_romandie,0.0,2,0,1702,4,0,,0,1,0
24,Omloop Ghent,OGhent,topclas_omloophetnieuws,4,9,1024,1024,60.0,1,organisateurs@omloop-lastnews.be,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,34,97,125,92,69,25,107)",gandlokeren,top_classiques_autres,0.0,12,0,0,4,0,,0,1,0
25,Tour de France,TDF,top_tdf,3,1,1025,21025,100.0,21,organisateurs@tourdefrance.com,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,34,97,125,25,35)",tour,top_france_grandtour,0.0,1,0,0,5,1,,0,1,0
